0,Channel,Channel 1-640nm narrow,Channel 2-640nm narrow,Channel 3-640nm narrow,Channel 4-640nm narrow
1,Last_Calibrated,12/9/2015,12/9/2015,12/9/2015,12/9/2015
2,Last_Cal_Time,9:35:59 AM,9:35:59 AM,9:35:59 AM,9:35:59 AM
3,duration,339.000000,339.000000,339.000000,339.000000
4,humidity,54.866833,54.866833,54.866833,54.866833
5,film temperature,25.256976,25.256976,25.256976,25.256976
6,CO2 Cal Gas,5.820000,5.820000,5.820000,5.820000
7,CalFile,C:\Users\PAHS\Google Drive\PAHS - Tech Dev\Consultants\LabView\LV_TestSystem\PAHS_Instrument_Dec_2_2015\DA_PCB4005_151208_COEFF_Fixed(ch1).csv,C:\Users\PAHS\Google Drive\PAHS - Tech Dev\Consultants\LabView\LV_TestSystem\PAHS_Instrument_Dec_2_2015\DA_PCB4005_151208_COEFF_Fixed(ch1).csv,C:\Users\PAHS\Google Drive\PAHS - Tech Dev\Consultants\LabView\LV_TestSystem\PAHS_Instrument_Dec_2_2015\DA_PCB4005_151208_COEFF_Fixed(ch1).csv,C:\Users\PAHS\Google Drive\PAHS - Tech Dev\Consultants\LabView\LV_TestSystem\PAHS_Instrument_Dec_2_2015\DA_PCB4005_151208_COEFF_Fixed(ch1).csv
8,TYPE,CalCoeff,CalCoeff,CalCoeff,CalCoeff
9,DATE,[11-16-15],[11-16-15],[11-16-15],[11-16-15]
10,Current,8.470000,8.470000,8.470000,8.470000
11,cal_utc,3532498559.493978,3532498559.493978,3532498559.493978,3532498559.493978
12,PCB,4005,4005,4005,4005
13,C0d,0.069488,0.069488,0.069488,0.069488
14,C6d,5.719220,5.719220,5.719220,5.719220
15,(spare),,,,
16,C2V_size,4,4,4,4
17,a2,0.000043,0.000043,0.000043,0.000043
18,a3,-0.000516,-0.000516,-0.000516,-0.000516
19,a4,0.000739,0.000739,0.000739,0.000739
20,a5,0.000581,0.000581,0.000581,0.000581
21,b2,-0.003697,-0.003697,-0.003697,-0.003697
22,b3,0.050892,0.050892,0.050892,0.050892
23,b4,-0.165939,-0.165939,-0.165939,-0.165939
24,b5,-0.037886,-0.037886,-0.037886,-0.037886
25,c2,0.079637,0.079637,0.079637,0.079637
26,c3,-1.199006,-1.199006,-1.199006,-1.199006
27,c4,5.541236,5.541236,5.541236,5.541236
28,c5,1.480141,1.480141,1.480141,1.480141
29,A,0.013500,0.013500,0.013500,0.013500
30,B,-0.242906,-0.242906,-0.242906,-0.242906
31,C,1.821507,1.821507,1.821507,1.821507
32,D,0.893691,0.893691,0.893691,0.893691
33,(spare),,,,
34,(spare),,,,
35,(spare),,,,
36,V2C_size,4,4,4,4
37,a7,0.000046,0.000046,0.000046,0.000046
38,a8,0.000008,0.000008,0.000008,0.000008
39,a9,0.002605,0.002605,0.002605,0.002605
40,a10,-0.002601,-0.002601,-0.002601,-0.002601
41,b7,-0.002145,-0.002145,-0.002145,-0.002145
42,b8,0.013285,0.013285,0.013285,0.013285
43,b9,-0.130670,-0.130670,-0.130670,-0.130670
44,b10,0.123984,0.123984,0.123984,0.123984
45,c7,0.048992,0.048992,0.048992,0.048992
46,c8,-0.409810,-0.409810,-0.409810,-0.409810
47,c9,2.243947,2.243947,2.243947,2.243947
48,c10,-1.962895,-1.962895,-1.962895,-1.962895
49,A',0.024214,0.024214,0.024214,0.024214
50,B',-0.068935,-0.068935,-0.068935,-0.068935
51,C',0.605187,0.605187,0.605187,0.605187
52,D',-0.490887,-0.490887,-0.490887,-0.490887
53,(spare),,,,
54,(spare),,,,
55,(spare),,,,
56,V_RA_5,0.576489,0.444985,0.490620,0.495284
57,V_RA_15,1.864954,1.410825,1.536637,1.557565
58,mI,128.846462,96.583985,104.601779,106.228106
59,I_span,0.009519,0.012825,0.011154,0.011566
60,DAC,389,521,457,475
61,V_0d_ImA (actual),1.178480,1.229322,1.157563,1.218533
62,V_6d_ImA (actual),6.211153,6.134355,6.077421,6.121783
63,V_0d_target,0.999831,0.999831,0.999831,0.999831
64,V_6d_target,5.928334,5.928334,5.928334,5.928334
65,Pump_Flow_rate,50,50,50,50
66,Cal_Offset_adj,0.178649,0.229491,0.157733,0.218702
67,Cal_Gain_adj,0.979301,1.004785,1.001757,1.005150
68,(spare),,,,
69,last_zero_humidity,59.439358,59.439358,59.439358,59.439358
70,last_zero_humidity,25.335243,25.335243,25.335243,25.335243
71,Time Monitoring since last zero,0.000000,0.000000,0.000000,0.000000
72,zero_utc,3532498559.493978,3532498559.493978,3532498559.493978,3532498559.493978
73,Last_Zero'd,12/9/2015,12/9/2015,12/9/2015,12/9/2015
74,Last_Zero_Time,9:35:59 AM,9:35:59 AM,9:35:59 AM,9:35:59 AM
75,Number_of_Zeros,0,0,0,0
76,V_0d_average,1.178480,1.229322,1.157563,1.218533
77,V_Offset_adj,0.178649,0.229491,0.157733,0.218702
78,V_Gain_adj,0.979301,1.004785,1.001757,1.005150
79,Software Rev,P6.0.4.5,P6.0.4.5,P6.0.4.5,P6.0.4.5
80,Sample Descriptor,CHAR-V9_3-SYS2,CHAR-V9_3-SYS2,CHAR-V9_3-SYS2,CHAR-V9_3-SYS2
81,Chamber,DA3,DA3,DA3,DA3
82,Operator,CK,CK,CK,CK
83,Notes,,,,
84,END,,,,
