0,Channel,Channel 1-640nm narrow,Channel 2-640nm narrow,Channel 3-640nm narrow,Channel 4-640nm narrow
1,Last_Calibrated,12/9/2015,12/9/2015,12/9/2015,12/9/2015
2,Last_Cal_Time,8:34:30 AM,8:34:30 AM,8:34:30 AM,8:34:30 AM
3,duration,331.000000,331.000000,331.000000,331.000000
4,humidity,59.506126,59.506126,59.506126,59.506126
5,film temperature,24.827904,24.827904,24.827904,24.827904
6,CO2 Cal Gas,5.820000,5.820000,5.820000,5.820000
7,CalFile,C:\Users\PAHS\Google Drive\PAHS - Tech Dev\Consultants\LabView\LV_TestSystem\PAHS_Instrument_Dec_2_2015\DA_PCB4005_151208_COEFF_Fixed(ch1).csv,C:\Users\PAHS\Google Drive\PAHS - Tech Dev\Consultants\LabView\LV_TestSystem\PAHS_Instrument_Dec_2_2015\DA_PCB4005_151208_COEFF_Fixed(ch1).csv,C:\Users\PAHS\Google Drive\PAHS - Tech Dev\Consultants\LabView\LV_TestSystem\PAHS_Instrument_Dec_2_2015\DA_PCB4005_151208_COEFF_Fixed(ch1).csv,C:\Users\PAHS\Google Drive\PAHS - Tech Dev\Consultants\LabView\LV_TestSystem\PAHS_Instrument_Dec_2_2015\DA_PCB4005_151208_COEFF_Fixed(ch1).csv
8,TYPE,CalCoeff,CalCoeff,CalCoeff,CalCoeff
9,DATE,[11-16-15],[11-16-15],[11-16-15],[11-16-15]
10,Current,8.470000,8.470000,8.470000,8.470000
11,cal_utc,3532494870.093956,3532494870.093956,3532494870.093956,3532494870.093956
12,PCB,4005,4005,4005,4005
13,C0d,0.069396,0.069396,0.069396,0.069396
14,C6d,5.716336,5.716336,5.716336,5.716336
15,(spare),,,,
16,C2V_size,4,4,4,4
17,a2,0.000043,0.000043,0.000043,0.000043
18,a3,-0.000516,-0.000516,-0.000516,-0.000516
19,a4,0.000739,0.000739,0.000739,0.000739
20,a5,0.000581,0.000581,0.000581,0.000581
21,b2,-0.003697,-0.003697,-0.003697,-0.003697
22,b3,0.050892,0.050892,0.050892,0.050892
23,b4,-0.165939,-0.165939,-0.165939,-0.165939
24,b5,-0.037886,-0.037886,-0.037886,-0.037886
25,c2,0.079637,0.079637,0.079637,0.079637
26,c3,-1.199006,-1.199006,-1.199006,-1.199006
27,c4,5.541236,5.541236,5.541236,5.541236
28,c5,1.480141,1.480141,1.480141,1.480141
29,A,0.014168,0.014168,0.014168,0.014168
30,B,-0.253650,-0.253650,-0.253650,-0.253650
31,C,1.876827,1.876827,1.876827,1.876827
32,D,0.897468,0.897468,0.897468,0.897468
33,(spare),,,,
34,(spare),,,,
35,(spare),,,,
36,V2C_size,4,4,4,4
37,a7,0.000046,0.000046,0.000046,0.000046
38,a8,0.000008,0.000008,0.000008,0.000008
39,a9,0.002605,0.002605,0.002605,0.002605
40,a10,-0.002601,-0.002601,-0.002601,-0.002601
41,b7,-0.002145,-0.002145,-0.002145,-0.002145
42,b8,0.013285,0.013285,0.013285,0.013285
43,b9,-0.130670,-0.130670,-0.130670,-0.130670
44,b10,0.123984,0.123984,0.123984,0.123984
45,c7,0.048992,0.048992,0.048992,0.048992
46,c8,-0.409810,-0.409810,-0.409810,-0.409810
47,c9,2.243947,2.243947,2.243947,2.243947
48,c10,-1.962895,-1.962895,-1.962895,-1.962895
49,A',0.024144,0.024144,0.024144,0.024144
50,B',-0.074815,-0.074815,-0.074815,-0.074815
51,C',0.605280,0.605280,0.605280,0.605280
52,D',-0.488182,-0.488182,-0.488182,-0.488182
53,(spare),,,,
54,(spare),,,,
55,(spare),,,,
56,V_RA_5,0.586538,0.448993,0.493871,0.501199
57,V_RA_15,1.907596,1.439678,1.553859,1.578699
58,mI,132.105795,99.068557,105.998806,107.749951
59,I_span,0.009345,0.012698,0.011092,0.011461
60,DAC,378,516,455,471
61,V_0d_ImA (actual),1.192783,1.254373,1.175224,1.232108
62,V_6d_ImA (actual),6.203302,6.249295,6.172723,6.211891
63,V_0d_target,1.005623,1.005623,1.005623,1.005623
64,V_6d_target,6.021984,6.021984,6.021984,6.021984
65,Pump_Flow_rate,50,50,50,50
66,Cal_Offset_adj,0.187160,0.248750,0.169600,0.226484
67,Cal_Gain_adj,1.001166,1.004292,1.003774,1.007345
68,(spare),,,,
69,last_zero_humidity,60.127743,60.127743,60.127743,60.127743
70,last_zero_humidity,24.740406,24.740406,24.740406,24.740406
71,Time Monitoring since last zero,0.000000,0.000000,0.000000,0.000000
72,zero_utc,3532494870.093956,3532494870.093956,3532494870.093956,3532494870.093956
73,Last_Zero'd,12/9/2015,12/9/2015,12/9/2015,12/9/2015
74,Last_Zero_Time,8:34:30 AM,8:34:30 AM,8:34:30 AM,8:34:30 AM
75,Number_of_Zeros,0,0,0,0
76,V_0d_average,1.192783,1.254373,1.175224,1.232108
77,V_Offset_adj,0.187160,0.248750,0.169600,0.226484
78,V_Gain_adj,1.001166,1.004292,1.003774,1.007345
79,Software Rev,P6.0.4.5,P6.0.4.5,P6.0.4.5,P6.0.4.5
80,Sample Descriptor,CHAR-V9_3-SYS2,CHAR-V9_3-SYS2,CHAR-V9_3-SYS2,CHAR-V9_3-SYS2
81,Chamber,DA3,DA3,DA3,DA3
82,Operator,CK,CK,CK,CK
83,Notes,,,,
84,END,,,,
