0,Channel,Channel 1-640nm narrow,Channel 2-640nm narrow,Channel 3-640nm narrow,Channel 4-640nm narrow
1,Last_Calibrated,1/21/2016,1/21/2016,1/21/2016,1/21/2016
2,Last_Cal_Time,1:21:32 PM,1:21:32 PM,1:21:32 PM,1:21:32 PM
3,duration,121.000000,121.000000,121.000000,121.000000
4,humidity,61.462803,61.462803,61.462803,61.462803
5,film temperature,25.348288,25.348288,25.348288,25.348288
6,CO2 Cal Gas,5.875000,5.875000,5.875000,5.875000
7,CalFile,C:\Users\PAHS\Google Drive\PAHS - Tech Dev\Consultants\LabView\LV_TestSystem\PAHS_Instrument_Dec_2_2015\DA_PCB4005_151229_COEFF.CSV,C:\Users\PAHS\Google Drive\PAHS - Tech Dev\Consultants\LabView\LV_TestSystem\PAHS_Instrument_Dec_2_2015\DA_PCB4005_151229_COEFF.CSV,C:\Users\PAHS\Google Drive\PAHS - Tech Dev\Consultants\LabView\LV_TestSystem\PAHS_Instrument_Dec_2_2015\DA_PCB4005_151229_COEFF.CSV,C:\Users\PAHS\Google Drive\PAHS - Tech Dev\Consultants\LabView\LV_TestSystem\PAHS_Instrument_Dec_2_2015\DA_PCB4005_151229_COEFF.CSV
8,TYPE,CalCoeff,CalCoeff,CalCoeff,CalCoeff
9,DATE,[11-16-15],[11-16-15],[11-16-15],[11-16-15]
10,Current,8.470000,2.550000,11.560000,11.060000
11,cal_utc,3536227292.698311,3536227292.698311,3536227292.698311,3536227292.698311
12,PCB,4005,4005,4005,4005
13,C0d,0.081959,0.081959,0.081959,0.081959
14,C6d,5.905848,5.905848,5.905848,5.905848
15,(spare),,,,
16,C2V_size,4,4,4,4
17,a2,0.000000,0.000000,0.000000,0.000000
18,a3,0.000000,0.000000,0.000000,0.000000
19,a4,0.000000,0.000000,0.000000,0.000000
20,a5,0.000000,0.000000,0.000000,0.000000
21,b2,0.000000,0.000000,0.000000,0.000000
22,b3,0.000000,0.000000,0.000000,0.000000
23,b4,0.000000,0.000000,0.000000,0.000000
24,b5,-0.211800,-0.211800,-0.211800,-0.211800
25,c2,0.000000,0.000000,0.000000,0.000000
26,c3,0.000000,0.000000,0.000000,0.000000
27,c4,0.000000,0.000000,0.000000,0.000000
28,c5,11.319000,11.319000,11.319000,11.319000
29,A,0.000000,0.000000,0.000000,0.000000
30,B,0.000000,0.000000,0.000000,0.000000
31,C,0.000000,0.000000,0.000000,0.000000
32,D,5.950233,5.950233,5.950233,5.950233
33,(spare),-0.019398,-0.019398,-0.019398,-0.019398
34,(spare),1.521103,1.521103,1.521103,1.521103
35,(spare),,,,
36,V2C_size,4,4,4,4
37,a7,0.000036,0.000036,0.000036,0.000036
38,a8,0.000051,0.000051,0.000051,0.000051
39,a9,0.002559,0.002559,0.002559,0.002559
40,a10,-0.002519,-0.002519,-0.002519,-0.002519
41,b7,-0.001768,-0.001768,-0.001768,-0.001768
42,b8,0.011195,0.011195,0.011195,0.011195
43,b9,-0.123850,-0.123850,-0.123850,-0.123850
44,b10,0.115527,0.115527,0.115527,0.115527
45,c7,0.043253,0.043253,0.043253,0.043253
46,c8,-0.357716,-0.357716,-0.357716,-0.357716
47,c9,2.060168,2.060168,2.060168,2.060168
48,c10,-1.789420,-1.789420,-1.789420,-1.789420
49,A',0.021248,0.021248,0.021248,0.021248
50,B',-0.041049,-0.041049,-0.041049,-0.041049
51,C',0.565070,0.565070,0.565070,0.565070
52,D',-0.479396,-0.479396,-0.479396,-0.479396
53,(spare),,,,
54,(spare),,,,
55,(spare),,,,
56,V_RA_5,7.309567,7.287064,7.694965,7.614735
57,V_RA_15,7.308683,7.287454,7.695173,7.614327
58,mI,-0.088367,0.039047,0.020778,-0.040790
59,I_span,0.008562,0.011609,0.010738,0.010947
60,DAC,0,0,0,0
61,V_0d_ImA (actual),1.117773,1.166457,1.277865,1.267239
62,V_6d_ImA (actual),1.149980,1.200362,1.316309,1.302724
63,V_0d_target,1.029387,1.029387,1.029387,1.029387
64,V_6d_target,5.950233,5.950233,5.950233,5.950233
65,Pump_Flow_rate,50,50,50,50
66,Cal_Offset_adj,0.088386,0.137070,0.248478,0.237852
67,Cal_Gain_adj,152.786040,145.140419,127.999454,138.673365
68,(spare),,,,
69,last_zero_humidity,54.910168,54.910168,54.910168,54.910168
70,last_zero_humidity,25.342890,25.342890,25.342890,25.342890
71,Time Monitoring since last zero,0.000000,0.000000,0.000000,0.000000
72,zero_utc,3536227292.698311,3536227292.698311,3536227292.698311,3536227292.698311
73,Last_Zero'd,1/21/2016,1/21/2016,1/21/2016,1/21/2016
74,Last_Zero_Time,1:21:32 PM,1:21:32 PM,1:21:32 PM,1:21:32 PM
75,Number_of_Zeros,0,0,0,0
76,V_0d_average,1.117773,1.166457,1.277865,1.267239
77,V_Offset_adj,0.088386,0.137070,0.248478,0.237852
78,V_Gain_adj,152.786040,145.140419,127.999454,138.673365
79,Software Rev,P6.0.4.5,P6.0.4.5,P6.0.4.5,P6.0.4.5
80,Sample Descriptor,CHAR-4005-SYS2,CHAR-4005-SYS2,CHAR-4005-SYS2,CHAR-4005-SYS2
81,Chamber,V9_3-DA4,V9_3-DA4,V9_3-DA4,V9_3-DA4
82,Operator,CK,CK,CK,CK
83,Notes,,,,
84,END,,,,
