Channel,Last_Calibrated,Last_Cal_Time,duration,humidity,film temperature,CO2 Cal Gas,CalFile,TYPE,DATE,Current,cal_utc,PCB,C0d,C6d,(spare),C2V_size,a2,a3,a4,a5,b2,b3,b4,b5,c2,c3,c4,c5,A,B,C,D,(spare),(spare),(spare),V2C_size,a7,a8,a9,a10,b7,b8,b9,b10,c7,c8,c9,c10,A',B',C',D',(spare),(spare),(spare),V_RA_5,V_RA_15,mI,I_span,DAC,V_0d_span (actual),V_6d_span (actual),V_0d_target,V_6d_target,Pump_Flow_rate,Cal_Offset_adj,Cal_Gain_adj,(spare),last_zero_humidity,last_zero_humidity,Time Monitoring since last zero,zero_utc,Last_Zero'd,Last_Zero_Time,Number_of_Zeros,V_0d_average,V_Offset_adj,V_Gain_adj,Software Rev,Sample Descriptor,Chamber,Operator,Notes,END
1,6/11/2015,7:31:52 PM,372,52.08979,24.75839,6,C:\Users\PAHS\Dropbox\PAHS Public\AK Temp\scratch\System 2\COEFFICIENTS\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],74.300003,3516892312,3701,0.116814,6.048876,,4,0.00001,-0.00013,0.000315,-0.000158,-0.001179,0.015904,-0.052977,0.012079,0.029325,-0.438551,1.964841,4.225175,0.006548,-0.124253,0.846256,4.427636,,,,4,0.004675,-0.073356,0.381963,-0.657489,-0.20164,3.236386,-17.12347,29.768965,4.338925,-69.724907,370.245331,-647.490906,2.212494,-34.562736,180.430488,-313.485734,,,,0.518146,1.317649,79.950283,0.0923,909,5.213314,2.127345,4.486267,6.446462,20,0.727047,0.921427,,55.850662,24.849211,0,3516892312,6/11/2015,7:31:52 PM,0,5.213314,0.727047,0.921427,X.X.X,,,,,
2,6/11/2015,7:31:52 PM,372,52.08979,24.75839,6,C:\Users\PAHS\Dropbox\PAHS Public\AK Temp\scratch\System 2\COEFFICIENTS\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],19.299999,3516892312,3701,0.012397,6.310751,,4,0.000049,-0.000676,0.002367,0.000314,-0.003268,0.047947,-0.204865,-0.030369,0.052203,-0.857497,4.85455,1.905177,0.001455,-0.084953,1.233532,1.345751,,,,4,0.000526,-0.003072,0.006101,-0.002371,-0.016556,0.086323,-0.106959,-0.031048,0.164533,-0.928712,1.704902,-0.612656,0.077048,-0.674555,2.796266,-2.834422,,,,0.337752,1.061711,72.395861,0.0219,212,1.575231,4.440341,1.431682,6.003034,20,0.143549,1.029505,,55.850662,24.849211,0,3516892312,6/11/2015,7:31:52 PM,0,1.575231,0.143549,1.029505,X.X.X,,,,,
3,6/11/2015,7:31:52 PM,372,52.08979,24.75839,6,C:\Users\PAHS\Dropbox\PAHS Public\AK Temp\scratch\System 2\COEFFICIENTS\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],44.099998,3516892312,3701,0.011174,6.337386,,4,0.00005,-0.000687,0.002457,0.00039,-0.003209,0.047522,-0.20743,-0.03646,0.04966,-0.82356,4.750866,2.188774,0.000598,-0.06825,1.121457,1.525279,,,,4,0.00069,-0.004312,0.009323,-0.004876,-0.022393,0.128071,-0.204469,0.029466,0.21755,-1.307486,2.609002,-1.309471,0.086358,-0.780035,3.261379,-3.568786,,,,0.193445,0.578791,38.53454,0.0483,476,1.76814,4.009312,1.603447,5.926129,20,0.164692,1.078161,,55.850662,24.849211,0,3516892312,6/11/2015,7:31:52 PM,0,1.76814,0.164692,1.078161,X.X.X,,,,,
4,6/11/2015,7:31:52 PM,372,52.08979,24.75839,6,C:\Users\PAHS\Dropbox\PAHS Public\AK Temp\scratch\System 2\COEFFICIENTS\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],15.1,3516892312,3701,0.012904,6.294757,,4,0.000049,-0.000667,0.002196,0.00038,-0.003308,0.047948,-0.197234,-0.029867,0.053273,-0.865874,4.790206,1.752663,0.001596,-0.087478,1.252889,1.246188,,,,4,0.000472,-0.002712,0.005533,-0.002374,-0.014808,0.076464,-0.099597,-0.0141,0.151133,-0.856625,1.664204,-0.698561,0.07362,-0.625601,2.590136,-2.503106,,,,0.414118,1.26506,85.094112,0.0167,166,1.444919,4.591533,1.333463,5.959017,20,0.111456,1.00741,,55.850662,24.849211,0,3516892312,6/11/2015,7:31:52 PM,0,1.444919,0.111456,1.00741,X.X.X,,,,,
1,6/12/2015,11:38:06 AM,282,47.890991,23.94701,5.79,C:\Users\PAHS\Google Drive\PAHS - Tech Dev\Consultants\LabView\CharacterizationCoeff\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],74.300003,3516950287,3701,0.136358,5.857691,,4,0.00001,-0.00013,0.000315,-0.000158,-0.001179,0.015904,-0.052977,0.012079,0.029325,-0.438551,1.964841,4.225175,0.007091,-0.132034,0.876795,4.424063,,,,4,0.004675,-0.073356,0.381963,-0.657489,-0.20164,3.236386,-17.12347,29.768965,4.338925,-69.724907,370.245331,-647.490906,2.191339,-34.289753,179.229501,-311.656623,,,,0.540731,1.426259,88.552787,0.0863,849,5.108136,1.806796,4.484794,6.450773,20,0.623342,1.088103,,43.212704,23.94701,0,3516950287,6/12/2015,11:38:06 AM,0,5.108136,0.623342,1.088103,X.X.X,CA-20-3701,C22,JP,PCB-3701,
2,6/12/2015,11:38:06 AM,282,47.890991,23.94701,5.79,C:\Users\PAHS\Google Drive\PAHS - Tech Dev\Consultants\LabView\CharacterizationCoeff\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],19.299999,3516950287,3701,0.016159,5.98725,,4,0.000049,-0.000676,0.002367,0.000314,-0.003268,0.047947,-0.204865,-0.030369,0.052203,-0.857497,4.85455,1.905177,0.002163,-0.09713,1.306202,1.357984,,,,4,0.000526,-0.003072,0.006101,-0.002371,-0.016556,0.086323,-0.106959,-0.031048,0.164533,-0.928712,1.704902,-0.612656,0.069695,-0.623195,2.641965,-2.715551,,,,0.383046,1.38561,100.256386,0.0229,222,1.992841,4.629984,1.448943,6.084463,20,0.543898,1.001196,,43.212704,23.94701,0,3516950287,6/12/2015,11:38:06 AM,0,1.992841,0.543898,1.001196,X.X.X,CA-20-3701,C22,JP,PCB-3701,
3,6/12/2015,11:38:06 AM,282,47.890991,23.94701,5.79,C:\Users\PAHS\Google Drive\PAHS - Tech Dev\Consultants\LabView\CharacterizationCoeff\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],44.099998,3516950287,3701,0.014588,5.9955,,4,0.00005,-0.000687,0.002457,0.00039,-0.003209,0.047522,-0.20743,-0.03646,0.04966,-0.82356,4.750866,2.188774,0.001242,-0.07965,1.192656,1.539441,,,,4,0.00069,-0.004312,0.009323,-0.004876,-0.022393,0.128071,-0.204469,0.029466,0.21755,-1.307486,2.609002,-1.309471,0.077243,-0.71353,3.058855,-3.400003,,,,0.21451,0.724105,50.959469,0.0511,504,2.183592,4.206147,1.622537,6.015811,20,0.561055,1.044489,,43.212704,23.94701,0,3516950287,6/12/2015,11:38:06 AM,0,2.183592,0.561055,1.044489,X.X.X,CA-20-3701,C22,JP,PCB-3701,
4,6/12/2015,11:38:06 AM,282,47.890991,23.94701,5.79,C:\Users\PAHS\Google Drive\PAHS - Tech Dev\Consultants\LabView\CharacterizationCoeff\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],15.1,3516950287,3701,0.016814,5.979506,,4,0.000049,-0.000667,0.002196,0.00038,-0.003308,0.047948,-0.197234,-0.029867,0.053273,-0.865874,4.790206,1.752663,0.002331,-0.100032,1.326152,1.255401,,,,4,0.000472,-0.002712,0.005533,-0.002374,-0.014808,0.076464,-0.099597,-0.0141,0.151133,-0.856625,1.664204,-0.698561,0.066996,-0.580487,2.452278,-2.397833,,,,0.479613,1.712283,123.266957,0.0179,178,1.931538,4.876551,1.347743,6.032854,20,0.583795,0.960743,,43.212704,23.94701,0,3516950287,6/12/2015,11:38:06 AM,0,1.931538,0.583795,0.960743,X.X.X,CA-20-3701,C22,JP,PCB-3701,
<CH1 OFF>,6/12/2015,12:48:49 PM,153,39.721981,24.126431,6,C:\Users\PAHS\Dropbox\PAHS Public\AK Temp\COEFFICIENTS\TEST - CH1 zeroed.csv,CalCoeff,[06-11-15],0,3516954529,3701,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.539169,1.356304,81.713527,0,0,0.023697,0.010265,0,0,20,0.023697,0,,37.697338,24.126431,0,3516954529,6/12/2015,12:48:49 PM,0,0.023697,0.023697,0,X.X.X,CA-20-3701,C22,JP,PCB-3701,
Channel 2-611nm narrow,6/12/2015,12:48:49 PM,153,39.721981,24.126431,6,C:\Users\PAHS\Dropbox\PAHS Public\AK Temp\COEFFICIENTS\TEST - CH1 zeroed.csv,CalCoeff,[06-11-15],19.299999,3516954529,3701,0.015246,6.24101,,4,0.000049,-0.000676,0.002367,0.000314,-0.003268,0.047947,-0.204865,-0.030369,0.052203,-0.857497,4.85455,1.905177,0.002001,-0.094361,1.289864,1.355243,,,,4,0.000526,-0.003072,0.006101,-0.002371,-0.016556,0.086323,-0.106959,-0.031048,0.164533,-0.928712,1.704902,-0.612656,0.071262,-0.634204,2.675394,-2.741568,,,,0.400925,1.159429,75.850425,0.0193,186,1.891197,3.647291,1.445072,6.12964,20,0.446125,1.284397,,37.697338,24.126431,0,3516954529,6/12/2015,12:48:49 PM,0,1.891197,0.446125,1.284397,X.X.X,CA-20-3701,C22,JP,PCB-3701,
