Channel,Last_Calibrated,Last_Cal_Time,duration,humidity,film temperature,CO2 Cal Gas,CalFile,TYPE,DATE,Current,cal_utc,PCB,C0d,C6d,(spare),C2V_size,a2,a3,a4,a5,b2,b3,b4,b5,c2,c3,c4,c5,A,B,C,D,(spare),(spare),(spare),V2C_size,a7,a8,a9,a10,b7,b8,b9,b10,c7,c8,c9,c10,A',B',C',D',(spare),(spare),(spare),V_RA_5,V_RA_15,mI,I_span,DAC,V_0d_span (actual),V_6d_span (actual),V_0d_target,V_6d_target,Pump_Flow_rate,Cal_Offset_adj,Cal_Gain_adj,(spare),last_zero_humidity,last_zero_humidity,Time Monitoring since last zero,zero_utc,Last_Zero'd,Last_Zero_Time,Number_of_Zeros,V_0d_average,V_Offset_adj,V_Gain_adj,Software Rev,Sample Descriptor,Chamber,Operator,Notes,END
1,6/11/2015,7:31:52 PM,372,52.08979,24.75839,6,C:\Users\PAHS\Dropbox\PAHS Public\AK Temp\scratch\System 2\COEFFICIENTS\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],74.300003,3516892312,3701,0.116814,6.048876,,4,0.00001,-0.00013,0.000315,-0.000158,-0.001179,0.015904,-0.052977,0.012079,0.029325,-0.438551,1.964841,4.225175,0.006548,-0.124253,0.846256,4.427636,,,,4,0.004675,-0.073356,0.381963,-0.657489,-0.20164,3.236386,-17.12347,29.768965,4.338925,-69.724907,370.245331,-647.490906,2.212494,-34.562736,180.430488,-313.485734,,,,0.518146,1.317649,79.950283,0.0923,909,5.213314,2.127345,4.486267,6.446462,20,0.727047,0.921427,,55.850662,24.849211,0,3516892312,6/11/2015,7:31:52 PM,0,5.213314,0.727047,0.921427,X.X.X,,,,,
2,6/11/2015,7:31:52 PM,372,52.08979,24.75839,6,C:\Users\PAHS\Dropbox\PAHS Public\AK Temp\scratch\System 2\COEFFICIENTS\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],19.299999,3516892312,3701,0.012397,6.310751,,4,0.000049,-0.000676,0.002367,0.000314,-0.003268,0.047947,-0.204865,-0.030369,0.052203,-0.857497,4.85455,1.905177,0.001455,-0.084953,1.233532,1.345751,,,,4,0.000526,-0.003072,0.006101,-0.002371,-0.016556,0.086323,-0.106959,-0.031048,0.164533,-0.928712,1.704902,-0.612656,0.077048,-0.674555,2.796266,-2.834422,,,,0.337752,1.061711,72.395861,0.0219,212,1.575231,4.440341,1.431682,6.003034,20,0.143549,1.029505,,55.850662,24.849211,0,3516892312,6/11/2015,7:31:52 PM,0,1.575231,0.143549,1.029505,X.X.X,,,,,
3,6/11/2015,7:31:52 PM,372,52.08979,24.75839,6,C:\Users\PAHS\Dropbox\PAHS Public\AK Temp\scratch\System 2\COEFFICIENTS\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],44.099998,3516892312,3701,0.011174,6.337386,,4,0.00005,-0.000687,0.002457,0.00039,-0.003209,0.047522,-0.20743,-0.03646,0.04966,-0.82356,4.750866,2.188774,0.000598,-0.06825,1.121457,1.525279,,,,4,0.00069,-0.004312,0.009323,-0.004876,-0.022393,0.128071,-0.204469,0.029466,0.21755,-1.307486,2.609002,-1.309471,0.086358,-0.780035,3.261379,-3.568786,,,,0.193445,0.578791,38.53454,0.0483,476,1.76814,4.009312,1.603447,5.926129,20,0.164692,1.078161,,55.850662,24.849211,0,3516892312,6/11/2015,7:31:52 PM,0,1.76814,0.164692,1.078161,X.X.X,,,,,
4,6/11/2015,7:31:52 PM,372,52.08979,24.75839,6,C:\Users\PAHS\Dropbox\PAHS Public\AK Temp\scratch\System 2\COEFFICIENTS\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],15.1,3516892312,3701,0.012904,6.294757,,4,0.000049,-0.000667,0.002196,0.00038,-0.003308,0.047948,-0.197234,-0.029867,0.053273,-0.865874,4.790206,1.752663,0.001596,-0.087478,1.252889,1.246188,,,,4,0.000472,-0.002712,0.005533,-0.002374,-0.014808,0.076464,-0.099597,-0.0141,0.151133,-0.856625,1.664204,-0.698561,0.07362,-0.625601,2.590136,-2.503106,,,,0.414118,1.26506,85.094112,0.0167,166,1.444919,4.591533,1.333463,5.959017,20,0.111456,1.00741,,55.850662,24.849211,0,3516892312,6/11/2015,7:31:52 PM,0,1.444919,0.111456,1.00741,X.X.X,,,,,
1,6/12/2015,7:49:46 AM,438,71.785782,22.18582,6,C:\Users\Bench2\Dropbox\PAHS Public\AK Temp\scratch\System 2\COEFFICIENTS\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],74.300003,3516936586,3701,0.184814,5.849553,,4,0.00001,-0.00013,0.000315,-0.000158,-0.001179,0.015904,-0.052977,0.012079,0.029325,-0.438551,1.964841,4.225175,0.008317,-0.149512,0.94451,4.415592,,,,4,0.004675,-0.073356,0.381963,-0.657489,-0.20164,3.236386,-17.12347,29.768965,4.338925,-69.724907,370.245331,-647.490906,2.166604,-34.029574,178.353217,-310.665279,,,,0.366035,0.875666,50.963164,0.1083,1023,3.463797,2.060375,4.480978,6.49667,20,-1.017181,0.978313,,71.131386,22.714041,0,3516936586,6/12/2015,7:49:46 AM,0,3.463797,-1.017181,0.978313,X.X.X,,,,,
2,6/12/2015,7:49:46 AM,438,71.785782,22.18582,6,C:\Users\Bench2\Dropbox\PAHS Public\AK Temp\scratch\System 2\COEFFICIENTS\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],19.299999,3516936586,3701,0.027453,5.969173,,4,0.000049,-0.000676,0.002367,0.000314,-0.003268,0.047947,-0.204865,-0.030369,0.052203,-0.857497,4.85455,1.905177,0.00392,-0.126627,1.474667,1.38596,,,,4,0.000526,-0.003072,0.006101,-0.002371,-0.016556,0.086323,-0.106959,-0.031048,0.164533,-0.928712,1.704902,-0.612656,0.056119,-0.525631,2.33468,-2.468268,,,,0.196877,0.472614,27.57371,0.0533,526,1.149246,0.163938,1.488567,6.522189,20,-0.339321,30.704455,,71.131386,22.714041,0,3516936586,6/12/2015,7:49:46 AM,0,1.149246,-0.339321,30.704455,X.X.X,,,,,
3,6/12/2015,7:49:46 AM,438,71.785782,22.18582,6,C:\Users\Bench2\Dropbox\PAHS Public\AK Temp\scratch\System 2\COEFFICIENTS\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],44.099998,3516936586,3701,0.025065,5.930171,,4,0.00005,-0.000687,0.002457,0.00039,-0.003209,0.047522,-0.20743,-0.03646,0.04966,-0.82356,4.750866,2.188774,0.002865,-0.107508,1.358334,1.571949,,,,4,0.00069,-0.004312,0.009323,-0.004876,-0.022393,0.128071,-0.204469,0.029466,0.21755,-1.307486,2.609002,-1.309471,0.060584,-0.588714,2.661495,-3.055734,,,,0.308327,0.782754,47.442726,0.0781,766,2.984602,-0.844536,1.666506,6.470549,20,1.318096,-5.688382,,71.131386,22.714041,0,3516936586,6/12/2015,7:49:46 AM,0,2.984602,1.318096,-5.688382,X.X.X,,,,,
4,6/12/2015,7:49:46 AM,438,71.785782,22.18582,6,C:\Users\Bench2\Dropbox\PAHS Public\AK Temp\scratch\System 2\COEFFICIENTS\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],15.1,3516936586,3701,0.028512,5.984066,,4,0.000049,-0.000667,0.002196,0.00038,-0.003308,0.047948,-0.197234,-0.029867,0.053273,-0.865874,4.790206,1.752663,0.004151,-0.130303,1.495125,1.277121,,,,4,0.000472,-0.002712,0.005533,-0.002374,-0.014808,0.076464,-0.099597,-0.0141,0.151133,-0.856625,1.664204,-0.698561,0.054755,-0.494847,2.178113,-2.180083,,,,0.432909,1.327611,89.470168,0.0193,186,1.597696,5.184631,1.381143,6.453607,20,0.216553,0.978366,,71.131386,22.714041,0,3516936586,6/12/2015,7:49:46 AM,0,1.597696,0.216553,0.978366,X.X.X,,,,,
Channel 1-525nm wide,6/12/2015,3:02:11 PM,395.000000,68.925751,21.923269,6.000000,C:\Users\Bench2\Dropbox\PAHS Public\AK Temp\COEFFICIENTS\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],74.300003,3516962531.222839,3701,0.192726,5.828335,,4,0.000010,-0.000130,0.000315,-0.000158,-0.001179,0.015904,-0.052977,0.012079,0.029325,-0.438551,1.964841,4.225175,0.008505,-0.152187,0.954772,4.414246,,,,4,0.004675,-0.073356,0.381963,-0.657489,-0.201640,3.236386,-17.123470,29.768965,4.338925,-69.724907,370.245331,-647.490906,2.165401,-34.029765,178.425534,-310.866841,,,,0.367658,0.874577,50.691888,0.098300,970,3.467928,2.051435,4.480337,6.501294,20,-1.012409,0.985143,,70.598518,22.273550,0.000000,3516962531.222839,6/12/2015,3:02:11 PM,0,3.467928,-1.012409,0.985143,X.X.X,,,,,
Channel 2-611nm narrow,6/12/2015,3:02:11 PM,395.000000,68.925751,21.923269,6.000000,C:\Users\Bench2\Dropbox\PAHS Public\AK Temp\COEFFICIENTS\CA_PCB3701_150611_COEFF.CSV,CalCoeff,[06-11-15],19.299999,3516962531.222839,3701,0.029483,5.930262,,4,0.000049,-0.000676,0.002367,0.000314,-0.003268,0.047947,-0.204865,-0.030369,0.052203,-0.857497,4.854550,1.905177,0.004209,-0.131384,1.501039,1.390297,,,,4,0.000526,-0.003072,0.006101,-0.002371,-0.016556,0.086323,-0.106959,-0.031048,0.164533,-0.928712,1.704902,-0.612656,0.054374,-0.512719,2.292112,-2.432664,,,,0.200268,0.483506,28.323832,0.043300,427,1.006537,0.166774,1.494727,6.575768,20,-0.488190,30.466628,,70.598518,22.273550,0.000000,3516962531.222839,6/12/2015,3:02:11 PM,0,1.006537,-0.488190,30.466628,X.X.X,,,,,
